ordering,tick,event_index,agent_id,rule_hypothesis,predicted_action,actual_action,accuracy,coherence,prediction_entropy
forward,5,21,agent2,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",rest,rest,1,0.3214,0.3126
forward,5,22,agent3,"Agents with low energy move toward richer patches, then eat to recover energy.",die,rest,0,0.3214,0.6632
forward,5,23,agent4,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.7000,0.3126
forward,5,24,agent5,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2900,0.3126
forward,6,25,agent1,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.7000,0.3126
forward,6,26,agent2,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.8000,0.3126
forward,6,27,agent3,"Agents with low energy move toward richer patches, then eat to recover energy.",eat,rest,0,0.2900,0.6632
forward,6,28,agent4,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",rest,rest,1,0.3214,0.3126
forward,6,29,agent5,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.3214,0.3126
forward,7,30,agent1,"Agents with low energy move toward richer patches, then eat to recover energy.",die,rest,0,0.7000,0.6632
forward,7,31,agent2,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.8000,0.3126
forward,7,32,agent3,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.9000,0.3126
forward,7,33,agent4,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,1.0000,0.3126
forward,7,34,agent5,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2900,0.3126
forward,8,35,agent1,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.2900,0.3126
forward,8,36,agent2,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",migrate,rest,0,0.2900,0.6632
forward,8,37,agent3,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.2900,0.3126
forward,8,38,agent4,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",rest,rest,1,0.3214,0.3126
forward,8,39,agent5,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.3214,0.3126
forward,9,40,agent1,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.7000,0.3126
forward,9,41,agent2,"Agents with low energy move toward richer patches, then eat to recover energy.",migrate,rest,0,0.8000,0.6632
forward,9,42,agent3,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.9000,0.3126
forward,9,43,agent4,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,1.0000,0.3126
forward,9,44,agent5,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",rest,rest,1,0.3214,0.3126
forward,10,45,agent1,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",rest,rest,1,0.7000,0.3126
forward,10,46,agent2,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.3214,0.3126
forward,10,47,agent3,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",unknown,rest,0,0.2900,0.6632
forward,10,48,agent4,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.2900,0.3126
forward,10,49,agent5,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2900,0.3126
forward,11,50,agent1,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.2900,0.3126
forward,11,51,agent2,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.7000,0.3126
forward,11,52,agent3,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",rest,rest,1,0.3214,0.3126
forward,11,53,agent4,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2692,0.3126
forward,11,54,agent5,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.2900,0.3126
forward,12,55,agent1,"Agents with low energy move toward richer patches, then eat to recover energy.",unknown,rest,0,0.7000,0.6632
forward,12,56,agent2,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.8000,0.3126
forward,12,57,agent3,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.9000,0.3126
forward,12,58,agent4,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,1.0000,0.3126
forward,12,59,agent5,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,1.0000,0.3126
forward,13,60,agent1,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,1.0000,0.3126
forward,13,61,agent2,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",rest,rest,1,0.3214,0.3126
forward,13,62,agent3,"Agents with low energy move toward richer patches, then eat to recover energy.",eat,rest,0,0.3214,0.6632
forward,13,63,agent4,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.7000,0.3126
forward,13,64,agent5,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",die,rest,0,0.3214,0.6632
forward,14,65,agent1,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",rest,rest,1,0.7000,0.3126
forward,14,66,agent2,"Agents with low energy move toward richer patches, then eat to recover energy.",unknown,rest,0,0.3214,0.6632
forward,14,67,agent3,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",rest,rest,1,0.3214,0.3126
forward,14,68,agent4,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",move,rest,0,0.2692,0.6632
forward,14,69,agent5,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",die,rest,0,0.7000,0.6632
forward,15,70,agent1,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",rest,rest,1,0.2692,0.3126
forward,15,71,agent2,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.3214,0.3126
forward,15,72,agent3,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.7000,0.3126
forward,15,73,agent4,"Agents with low energy move toward richer patches, then eat to recover energy.",unknown,rest,0,0.8000,0.6632
forward,15,74,agent5,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",rest,rest,1,0.3214,0.3126
forward,16,75,agent1,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.3214,0.3126
forward,16,76,agent2,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.7000,0.3126
forward,16,77,agent3,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.8000,0.3126
forward,16,78,agent4,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2900,0.3126
forward,16,79,agent5,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",die,rest,0,0.7000,0.6632
forward,17,80,agent1,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",rest,rest,1,0.2692,0.3126
forward,17,81,agent2,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.3214,0.3126
forward,17,82,agent3,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2900,0.3126
forward,17,83,agent4,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",rest,rest,1,0.2692,0.3126
forward,17,84,agent5,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2692,0.3126
forward,18,85,agent1,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.7000,0.3126
forward,18,86,agent2,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.8000,0.3126
forward,18,87,agent3,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",rest,rest,1,0.2692,0.3126
forward,18,88,agent4,"Agents with low energy move toward richer patches, then eat to recover energy.",eat,rest,0,0.3214,0.6632
forward,18,89,agent5,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.7000,0.3126
forward,19,90,agent1,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.8000,0.3126
forward,19,91,agent2,"Agents with low energy move toward richer patches, then eat to recover energy.",die,rest,0,0.9000,0.6632
forward,19,92,agent3,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,1.0000,0.3126
forward,19,93,agent4,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,1.0000,0.3126
forward,19,94,agent5,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,1.0000,0.3126
forward,20,95,agent1,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2900,0.3126
forward,20,96,agent2,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.7000,0.3126
forward,20,97,agent3,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",rest,rest,1,0.2692,0.3126
forward,20,98,agent4,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",eat,rest,0,0.7000,0.6632
forward,20,99,agent5,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2692,0.3126
forward,21,100,agent1,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.7000,0.3126
forward,21,101,agent2,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.8000,0.3126
forward,21,102,agent3,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.2900,0.3126
forward,21,103,agent4,"Agents with low energy move toward richer patches, then eat to recover energy.",move,rest,0,0.7000,0.6632
forward,21,104,agent5,"Agents with low energy move toward richer patches, then eat to recover energy.",die,rest,0,0.8000,0.6632
forward,22,105,agent1,"Agents with low energy move toward richer patches, then eat to recover energy.",migrate,rest,0,0.9000,0.6632
forward,22,106,agent2,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,1.0000,0.3126
forward,22,107,agent3,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,1.0000,0.3126
forward,22,108,agent4,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",rest,rest,1,0.3214,0.3126
forward,22,109,agent5,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.3214,0.3126
forward,23,110,agent1,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2900,0.3126
forward,23,111,agent2,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.2900,0.3126
forward,23,112,agent3,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.7000,0.3126
forward,23,113,agent4,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2900,0.3126
forward,23,114,agent5,"Agents with low energy move toward richer patches, then eat to recover energy.",die,rest,0,0.2900,0.6632
forward,24,115,agent1,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.7000,0.3126
forward,24,116,agent2,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2900,0.3126
forward,24,117,agent3,"Agents with low energy move toward richer patches, then eat to recover energy.",eat,rest,0,0.2900,0.6632
forward,24,118,agent4,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.7000,0.3126
forward,24,119,agent5,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.8000,0.3126
forward,25,120,agent1,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.9000,0.3126
forward,25,121,agent2,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2900,0.3126
forward,25,122,agent3,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.2900,0.3126
forward,25,123,agent4,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.7000,0.3126
forward,25,124,agent5,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",eat,rest,0,0.2900,0.6632
forward,26,125,agent1,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.2900,0.3126
forward,26,126,agent2,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",rest,rest,1,0.3214,0.3126
forward,26,127,agent3,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2692,0.3126
forward,26,128,agent4,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.2900,0.3126
forward,26,129,agent5,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.7000,0.3126
forward,27,130,agent1,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2900,0.3126
forward,27,131,agent2,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.2900,0.3126
forward,27,132,agent3,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.7000,0.3126
forward,27,133,agent4,"Agents with low energy move toward richer patches, then eat to recover energy.",die,rest,0,0.8000,0.6632
forward,27,134,agent5,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",die,rest,0,0.3214,0.6632
forward,28,135,agent1,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",rest,rest,1,0.7000,0.3126
forward,28,136,agent2,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.3214,0.3126
forward,28,137,agent3,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",rest,rest,1,0.3214,0.3126
forward,28,138,agent4,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",rest,rest,1,0.7000,0.3126
forward,28,139,agent5,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",migrate,rest,0,0.8000,0.6632
forward,29,140,agent1,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.3214,0.3126
forward,29,141,agent2,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.7000,0.3126
forward,29,142,agent3,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2900,0.3126
forward,29,143,agent4,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.2900,0.3126
forward,29,144,agent5,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.7000,0.3126
forward,30,145,agent1,"Agents with low energy move toward richer patches, then eat to recover energy.",move,rest,0,0.8000,0.6632
forward,30,146,agent2,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",die,rest,0,0.2900,0.6632
forward,30,147,agent3,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.2900,0.3126
forward,30,148,agent4,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",die,rest,0,0.3214,0.6632
forward,30,149,agent5,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",die,rest,0,0.2692,0.6632
forward,31,150,agent1,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.2900,0.3126
forward,31,151,agent2,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.7000,0.3126
forward,31,152,agent3,"Agents with low energy move toward richer patches, then eat to recover energy.",unknown,rest,0,0.8000,0.6632
forward,31,153,agent4,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.9000,0.3126
forward,31,154,agent5,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,1.0000,0.3126
forward,32,155,agent1,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,1.0000,0.3126
forward,32,156,agent2,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2900,0.3126
forward,32,157,agent3,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",rest,rest,1,0.2692,0.3126
forward,32,158,agent4,"Agents with low energy move toward richer patches, then eat to recover energy.",migrate,rest,0,0.3214,0.6632
forward,32,159,agent5,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.7000,0.3126
forward,33,160,agent1,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.8000,0.3126
forward,33,161,agent2,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.9000,0.3126
forward,33,162,agent3,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,1.0000,0.3126
forward,33,163,agent4,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,1.0000,0.3126
forward,33,164,agent5,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2900,0.3126
forward,34,165,agent1,"Agents with low energy move toward richer patches, then eat to recover energy.",move,rest,0,0.2900,0.6632
forward,34,166,agent2,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.7000,0.3126
forward,34,167,agent3,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2900,0.3126
forward,34,168,agent4,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.7000,0.3126
forward,34,169,agent5,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.8000,0.3126
forward,35,170,agent1,"Agents with low energy move toward richer patches, then eat to recover energy.",eat,eat,1,0.2900,0.3126
forward,35,171,agent2,"Agents with low energy move toward richer patches, then eat to recover energy.",eat,eat,1,0.7000,0.3126
forward,35,172,agent3,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",eat,eat,1,0.2900,0.3126
forward,35,173,agent4,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",eat,eat,1,0.7000,0.3126
forward,35,174,agent5,"Agents with low energy move toward richer patches, then eat to recover energy.",eat,eat,1,0.2900,0.3126
forward,36,175,agent1,"Agents with low energy move toward richer patches, then eat to recover energy.",eat,rest,0,0.7000,0.3126
forward,36,176,agent2,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",eat,rest,0,0.3214,0.3126
forward,36,177,agent3,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",eat,rest,0,0.7000,0.3126
forward,36,178,agent4,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",migrate,rest,0,0.2692,0.6632
forward,36,179,agent5,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",eat,rest,0,0.7000,0.3126
forward,37,180,agent1,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",rest,rest,1,0.2692,0.3126
forward,37,181,agent2,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.3214,0.3126
forward,37,182,agent3,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.7000,0.3126
forward,37,183,agent4,"Agents with low energy move toward richer patches, then eat to recover energy.",migrate,rest,0,0.8000,0.6632
forward,37,184,agent5,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",migrate,rest,0,0.2900,0.6632
forward,38,185,agent1,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.2900,0.3126
forward,38,186,agent2,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2900,0.3126
forward,38,187,agent3,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",rest,rest,1,0.2692,0.3126
forward,38,188,agent4,"Agents with low energy move toward richer patches, then eat to recover energy.",migrate,rest,0,0.3214,0.6632
forward,38,189,agent5,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.7000,0.3126
forward,39,190,agent1,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2900,0.3126
forward,39,191,agent2,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.2900,0.3126
forward,39,192,agent3,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.7000,0.3126
forward,39,193,agent4,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2900,0.3126
forward,39,194,agent5,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.2900,0.3126
forward,40,195,agent1,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2900,0.3126
forward,40,196,agent2,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.2900,0.3126
forward,40,197,agent3,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.7000,0.3126
forward,40,198,agent4,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.8000,0.3126
forward,40,199,agent5,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.9000,0.3126
forward,41,200,agent1,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",rest,rest,1,0.3214,0.3126
forward,41,201,agent2,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.3214,0.3126
forward,41,202,agent3,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",eat,rest,0,0.2900,0.6632
forward,41,203,agent4,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.2900,0.3126
forward,41,204,agent5,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.7000,0.3126
forward,42,205,agent1,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2900,0.3126
forward,42,206,agent2,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.2900,0.3126
forward,42,207,agent3,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.7000,0.3126
forward,42,208,agent4,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.8000,0.3126
forward,42,209,agent5,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.9000,0.3126
forward,43,210,agent1,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2900,0.3126
forward,43,211,agent2,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.2900,0.3126
forward,43,212,agent3,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",rest,rest,1,0.3214,0.3126
forward,43,213,agent4,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2692,0.3126
forward,43,214,agent5,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.2900,0.3126
forward,44,215,agent1,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.7000,0.3126
forward,44,216,agent2,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.8000,0.3126
forward,44,217,agent3,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.9000,0.3126
forward,44,218,agent4,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",migrate,rest,0,0.2900,0.6632
forward,44,219,agent5,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.2900,0.3126
forward,45,220,agent1,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.7000,0.3126
forward,45,221,agent2,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.8000,0.3126
forward,45,222,agent3,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.9000,0.3126
forward,45,223,agent4,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2900,0.3126
forward,45,224,agent5,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.7000,0.3126
forward,46,225,agent1,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.2900,0.3126
forward,46,226,agent2,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",rest,rest,1,0.3214,0.3126
forward,46,227,agent3,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",rest,rest,1,0.7000,0.3126
forward,46,228,agent4,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2692,0.3126
forward,46,229,agent5,"The dominant rule is energy regulation: move/eat when depleted, rest when recharged.",rest,rest,1,0.2692,0.3126
forward,47,230,agent1,"Agents with low energy move toward richer patches, then eat to recover energy.",rest,rest,1,0.3214,0.3126
forward,47,231,agent2,"Agents with low energy move toward richer patches, then eat to recover energy.",eat,rest,0,0.7000,0.6632
forward,47,232,agent3,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.2900,0.3126
forward,47,233,agent4,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",rest,rest,1,0.7000,0.3126
forward,47,234,agent5,"Behavior appears causal: hunger drives movement, resource contact triggers eating, high energy leads to resting.",eat,rest,0,0.8000,0.6632
